infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P removal
15.36,47.5,75,158,9.6,6.91,0.72,2,1.5,7.4,13.487884,66.7
10.1,47.5,75,189,9.6,6.91,0.72,2,1.5,7.4,18.458488,77.2
11.81,21.37,75.48,202.73,5.44,2.79,0.51,6,2,8,61.080563,56.8
9.62,36.54,82.19,246.57,7.7,4.6,0.6,6,3,7.5,28.373035,96
11.43,11.58,67.74,190.81,5.41,2.79,0.51,6,2,8,57.089546,57.5
12.57,0,70.32,166.17,6.15,3.07,0.5,6,2,8,34.348503,45.6
3.25,32.67,104.2,312.6,7.7,4.6,0.6,6,3,7.5,58.222015,84.3
10.28,30.43,68.31,177.3,8.49,3.13,0.37,6,2,8,69.01932,74.5
11.36,22.8,76.8,151.9,7.91,4.94,0.62,12,24,7.4,74.21048,100
13.44,50,75,150,7.5,5.3,0.71,3,3,7.6,15.3784685,53.8
